humidity,pressure,temperature,timestamp_x,timestamp_y,heart_rate
37.84,1011.92,26.45,2023-07-27 18:40:03,2023-07-27 13:41:55,93
29.69,1011.89,30.76,2023-07-27 18:44:21,2023-07-27 13:41:55,93
28.24,1011.98,31.69,2023-07-27 18:45:31,2023-07-27 13:41:55,93
27.06,1011.99,32.57,2023-07-27 18:46:51,2023-07-27 13:41:55,93
20.57,1011.98,37.12,2023-07-27 19:01:28,2023-07-27 13:41:55,93
20.06,1012.01,37.29,2023-07-27 19:04:03,2023-07-27 13:41:55,93
27.57,1012.99,30.20,2023-08-05 01:44:54,2023-08-04 21:20:43,72
26.88,1012.96,30.63,2023-08-05 01:54:57,2023-08-04 21:20:43,72
26.92,1012.95,30.57,2023-08-05 01:56:11,2023-08-04 21:20:43,72
42.98,1015.18,30.00,2023-08-07 19:42:30,2023-08-07 14:48:04,104
43.02,1015.23,29.91,2023-08-07 19:43:46,2023-08-07 14:48:04,104
43.13,1015.27,29.80,2023-08-07 19:44:56,2023-08-07 14:48:04,104
33.93,1010.54,28.47,2023-08-11 00:00:50,2023-08-10 19:36:22,117
33.87,1010.53,28.54,2023-08-11 00:02:23,2023-08-10 19:36:22,117
33.73,1010.49,28.60,2023-08-11 00:03:42,2023-08-10 19:36:22,117
33.75,1010.48,28.59,2023-08-11 00:04:54,2023-08-10 19:36:22,117
33.76,1010.50,28.52,2023-08-11 00:06:05,2023-08-10 19:36:22,117
33.94,1010.50,28.40,2023-08-11 00:07:18,2023-08-10 19:36:22,117
34.10,1010.51,28.29,2023-08-11 00:08:30,2023-08-10 19:36:22,117
34.23,1010.53,28.20,2023-08-11 00:09:46,2023-08-10 19:36:22,117
34.24,1010.48,28.20,2023-08-11 00:11:16,2023-08-10 19:36:22,117
34.13,1010.51,28.24,2023-08-11 00:12:30,2023-08-10 19:36:22,117
34.07,1010.50,28.22,2023-08-11 00:13:44,2023-08-10 19:36:22,117
34.07,1010.54,28.22,2023-08-11 00:16:43,2023-08-10 19:36:22,117
33.92,1010.53,28.32,2023-08-11 00:18:08,2023-08-10 19:36:22,117
33.76,1010.52,28.38,2023-08-11 00:19:29,2023-08-10 19:36:22,117
33.62,1010.53,28.46,2023-08-11 00:21:01,2023-08-10 19:36:22,117
33.59,1010.52,28.48,2023-08-11 00:22:25,2023-08-10 19:36:22,117
33.39,1010.56,28.55,2023-08-11 00:25:13,2023-08-10 19:36:22,117
33.27,1010.54,28.63,2023-08-11 00:29:44,2023-08-10 19:37:32,110
33.16,1010.48,28.68,2023-08-11 00:31:11,2023-08-10 19:38:59,120
32.98,1010.49,28.73,2023-08-11 00:33:52,2023-08-10 19:41:40,133
33.13,1010.51,28.60,2023-08-11 00:36:40,2023-08-10 19:42:21,119
33.12,1010.51,28.56,2023-08-11 00:39:19,2023-08-10 19:42:21,119
33.15,1010.50,28.50,2023-08-11 00:42:10,2023-08-10 19:42:21,119
33.15,1010.48,28.51,2023-08-11 00:43:22,2023-08-10 19:42:21,119
33.26,1010.44,28.43,2023-08-11 00:44:33,2023-08-10 19:42:21,119
33.35,1010.46,28.34,2023-08-11 00:45:41,2023-08-10 19:42:21,119
33.56,1010.46,28.21,2023-08-11 00:48:23,2023-08-10 19:42:21,119
33.49,1010.41,28.20,2023-08-11 00:49:34,2023-08-10 19:42:21,119
33.55,1010.43,28.11,2023-08-11 00:51:01,2023-08-10 19:42:21,119
33.34,1010.41,28.23,2023-08-11 00:53:40,2023-08-10 19:42:21,119
33.12,1010.39,28.29,2023-08-11 00:58:07,2023-08-10 19:42:21,119
32.81,1010.39,28.42,2023-08-11 01:00:58,2023-08-10 19:42:21,119
32.72,1010.35,28.48,2023-08-11 01:02:29,2023-08-10 19:42:21,119
32.57,1010.35,28.55,2023-08-11 01:03:54,2023-08-10 19:42:21,119
