humidity,pressure,temperature,timestamp,heart_rate
79.68,1017.40,33.27,2023-08-08 15:54:54,98
82.16,1017.33,33.14,2023-08-08 15:56:04,98
78.30,1017.39,33.20,2023-08-08 16:00:10,98
74.90,1017.36,33.22,2023-08-08 16:02:43,98
73.74,1017.36,33.27,2023-08-08 16:03:44,98
74.72,1017.36,33.27,2023-08-08 16:04:48,98
79.57,1017.39,33.30,2023-08-08 16:05:50,98
82.47,1017.38,33.28,2023-08-08 16:06:51,98
81.63,1017.35,33.34,2023-08-08 16:07:54,98
92.99,1017.40,33.08,2023-08-08 16:09:04,98
94.27,1017.37,32.63,2023-08-08 16:10:07,98
94.82,1017.37,32.03,2023-08-08 16:11:13,98
75.97,1017.36,32.38,2023-08-08 16:21:08,98
72.51,1017.35,32.41,2023-08-08 16:22:25,98
71.31,1017.34,32.46,2023-08-08 16:23:29,98
69.14,1017.32,32.47,2023-08-08 16:24:33,98
65.38,1017.31,32.32,2023-08-08 16:25:37,96
66.40,1017.26,32.41,2023-08-08 16:26:38,99
65.35,1017.32,32.46,2023-08-08 16:27:47,98
62.11,1017.31,32.38,2023-08-08 16:28:49,100
61.06,1017.30,32.46,2023-08-08 16:31:25,87
60.77,1017.26,32.76,2023-08-08 16:35:22,92
61.30,1017.31,32.73,2023-08-08 16:36:41,90
60.19,1017.26,32.67,2023-08-08 16:37:43,100
62.68,1017.28,32.65,2023-08-08 16:38:45,88
59.45,1017.27,33.04,2023-08-08 16:42:04,88
59.04,1017.25,33.17,2023-08-08 16:43:07,88
56.60,1017.24,33.14,2023-08-08 16:49:00,88
72.74,1017.28,33.00,2023-08-08 16:50:16,88
56.26,1017.24,32.47,2023-08-08 16:54:16,88
54.93,1017.30,32.35,2023-08-08 16:55:43,88
54.38,1017.31,32.38,2023-08-08 16:56:48,88
52.84,1017.27,32.21,2023-08-08 16:58:04,88
54.04,1017.30,32.16,2023-08-08 16:59:09,88
52.33,1017.28,32.06,2023-08-08 17:02:08,88
53.67,1017.25,32.50,2023-08-08 17:04:40,97
52.64,1017.24,32.42,2023-08-08 17:05:45,97
51.49,1017.22,32.34,2023-08-08 17:06:54,97
54.89,1017.23,32.61,2023-08-08 17:12:37,97
52.07,1017.17,32.61,2023-08-08 17:14:06,97
56.43,1017.16,32.83,2023-08-08 17:15:10,97
56.96,1017.17,32.78,2023-08-08 17:16:42,97
57.16,1017.14,32.78,2023-08-08 17:19:20,97
56.62,1017.10,32.68,2023-08-08 17:20:28,97
53.07,1016.97,32.56,2023-08-08 17:26:21,97
57.80,1016.98,32.26,2023-08-08 17:28:54,97
59.72,1016.99,32.12,2023-08-08 17:31:43,100
58.31,1017.00,32.15,2023-08-08 17:32:51,104
58.04,1017.00,32.13,2023-08-08 17:33:54,97
57.53,1016.99,31.98,2023-08-08 17:35:05,93
56.74,1016.98,31.92,2023-08-08 17:36:13,98
58.30,1016.99,32.05,2023-08-08 17:43:18,95
55.78,1016.90,31.99,2023-08-08 17:47:07,93
55.93,1016.97,31.85,2023-08-08 17:48:11,98
