station_id,available_time,valid_time,surface_temperature,air_temperature,dew_point_temperature,frost_point_temperature
14638,2023-07-06 11:41:42.659000 UTC,2023-07-06 11:38:00.000000 UTC,22.3,18.99,10.68,10.68
14635,2023-07-06 11:41:42.659000 UTC,2023-07-06 11:38:00.000000 UTC,23.1,17.29,11.56,11.56
14637,2023-07-06 11:45:02.605000 UTC,2023-07-06 11:41:00.000000 UTC,23.3,17.03,11.54,11.54
14636,2023-07-06 11:46:42.713000 UTC,2023-07-06 11:44:00.000000 UTC,21.0,17.31,11.8,11.8
14635,2023-07-06 11:51:42.648000 UTC,2023-07-06 11:48:00.000000 UTC,23.1,17.21,11.98,11.98
14638,2023-07-06 11:51:42.648000 UTC,2023-07-06 11:48:00.000000 UTC,22.2,18.89,10.44,10.44
14637,2023-07-06 11:55:02.567000 UTC,2023-07-06 11:51:00.000000 UTC,23.2,17.02,11.63,11.63
14636,2023-07-06 11:56:42.599000 UTC,2023-07-06 11:54:00.000000 UTC,20.9,17.22,12.03,12.03
14635,2023-07-06 12:01:42.891000 UTC,2023-07-06 11:58:00.000000 UTC,23.1,17.18,11.81,11.81
14638,2023-07-06 12:01:42.891000 UTC,2023-07-06 11:58:00.000000 UTC,21.9,18.31,11.34,11.34
14637,2023-07-06 12:05:02.555000 UTC,2023-07-06 12:01:00.000000 UTC,23.1,16.99,11.7,11.7
14636,2023-07-06 12:06:42.615000 UTC,2023-07-06 12:04:00.000000 UTC,20.8,17.17,12.05,12.05
14638,2023-07-06 12:11:42.825000 UTC,2023-07-06 12:08:00.000000 UTC,21.7,18.06,11.25,11.25
14635,2023-07-06 12:11:42.825000 UTC,2023-07-06 12:08:00.000000 UTC,23.0,17.23,11.61,11.61
14637,2023-07-06 12:15:02.734000 UTC,2023-07-06 12:11:00.000000 UTC,22.9,16.92,11.3,11.3
14636,2023-07-06 12:16:42.866000 UTC,2023-07-06 12:14:00.000000 UTC,20.6,17.03,11.43,11.43
14638,2023-07-06 12:21:42.738000 UTC,2023-07-06 12:18:00.000000 UTC,21.7,17.96,11.08,11.08
14635,2023-07-06 12:21:42.738000 UTC,2023-07-06 12:18:00.000000 UTC,22.8,17.2,11.61,11.61
14637,2023-07-06 12:25:02.550000 UTC,2023-07-06 12:21:00.000000 UTC,22.8,16.88,11.3,11.3
14636,2023-07-06 12:26:42.491000 UTC,2023-07-06 12:24:00.000000 UTC,20.5,16.78,11.43,11.43
14638,2023-07-06 12:31:42.741000 UTC,2023-07-06 12:28:00.000000 UTC,21.5,17.91,10.86,10.86
14635,2023-07-06 12:31:42.741000 UTC,2023-07-06 12:28:00.000000 UTC,22.7,17.15,11.5,11.5
14637,2023-07-06 12:35:03.044000 UTC,2023-07-06 12:31:00.000000 UTC,22.7,16.84,11.11,11.11
14636,2023-07-06 12:36:42.520000 UTC,2023-07-06 12:34:00.000000 UTC,20.4,16.64,11.76,11.76
14635,2023-07-06 12:41:42.645000 UTC,2023-07-06 12:38:00.000000 UTC,22.7,16.96,11.47,11.47
14638,2023-07-06 12:41:42.645000 UTC,2023-07-06 12:38:00.000000 UTC,21.7,17.98,10.74,10.74
14637,2023-07-06 12:45:02.515000 UTC,2023-07-06 12:41:00.000000 UTC,22.7,17.03,10.92,10.92
14636,2023-07-06 12:46:42.737000 UTC,2023-07-06 12:44:00.000000 UTC,20.4,16.54,11.81,11.81
14635,2023-07-06 12:51:42.617000 UTC,2023-07-06 12:48:00.000000 UTC,22.6,16.94,11.69,11.69
14638,2023-07-06 12:51:42.617000 UTC,2023-07-06 12:48:00.000000 UTC,21.7,18.1,10.78,10.78
14637,2023-07-06 12:55:02.800000 UTC,2023-07-06 12:51:00.000000 UTC,22.5,16.97,11.26,11.26
14636,2023-07-06 12:56:42.643000 UTC,2023-07-06 12:54:00.000000 UTC,20.5,16.55,11.91,11.91
14635,2023-07-06 13:01:42.708000 UTC,2023-07-06 12:58:00.000000 UTC,22.7,16.99,11.66,11.66
14638,2023-07-06 13:01:42.708000 UTC,2023-07-06 12:58:00.000000 UTC,21.7,18.04,10.7,10.7
14637,2023-07-06 13:05:02.672000 UTC,2023-07-06 13:01:00.000000 UTC,22.5,16.7,11.65,11.65
14636,2023-07-06 13:06:42.556000 UTC,2023-07-06 13:04:00.000000 UTC,20.4,16.55,11.93,11.93
14635,2023-07-06 13:11:42.636000 UTC,2023-07-06 13:08:00.000000 UTC,22.7,16.93,11.6,11.6
14638,2023-07-06 13:11:42.636000 UTC,2023-07-06 13:08:00.000000 UTC,21.8,18.05,10.72,10.72
14637,2023-07-06 13:15:02.664000 UTC,2023-07-06 13:11:00.000000 UTC,22.3,16.57,11.59,11.59
14636,2023-07-06 13:16:42.811000 UTC,2023-07-06 13:14:00.000000 UTC,20.4,16.68,11.84,11.84
14635,2023-07-06 13:21:42.748000 UTC,2023-07-06 13:18:00.000000 UTC,22.9,17.11,11.55,11.55
14638,2023-07-06 13:21:42.748000 UTC,2023-07-06 13:18:00.000000 UTC,21.9,18.01,10.81,10.81
14637,2023-07-06 13:25:02.493000 UTC,2023-07-06 13:21:00.000000 UTC,22.4,16.55,11.6,11.6
14636,2023-07-06 13:26:42.519000 UTC,2023-07-06 13:24:00.000000 UTC,20.4,16.64,11.84,11.84
14635,2023-07-06 13:31:42.694000 UTC,2023-07-06 13:28:00.000000 UTC,22.9,17.14,11.72,11.72
14638,2023-07-06 13:31:42.694000 UTC,2023-07-06 13:28:00.000000 UTC,21.8,18.11,10.92,10.92
14637,2023-07-06 13:35:02.499000 UTC,2023-07-06 13:31:00.000000 UTC,22.2,16.64,11.61,11.61
14636,2023-07-06 13:36:42.519000 UTC,2023-07-06 13:34:00.000000 UTC,20.4,16.67,11.79,11.79
14638,2023-07-06 13:41:42.542000 UTC,2023-07-06 13:38:00.000000 UTC,21.4,17.73,11.22,11.22
14635,2023-07-06 13:41:42.542000 UTC,2023-07-06 13:38:00.000000 UTC,23.2,17.02,11.91,11.91
14637,2023-07-06 13:45:02.513000 UTC,2023-07-06 13:41:00.000000 UTC,22.4,16.6,11.6,11.6
14636,2023-07-06 13:46:42.689000 UTC,2023-07-06 13:44:00.000000 UTC,20.5,16.8,11.99,11.99
14635,2023-07-06 13:51:42.737000 UTC,2023-07-06 13:48:00.000000 UTC,24.1,17.15,11.98,11.98
14638,2023-07-06 13:51:42.737000 UTC,2023-07-06 13:48:00.000000 UTC,21.8,17.75,11.43,11.43
14637,2023-07-06 13:55:02.481000 UTC,2023-07-06 13:51:00.000000 UTC,22.5,16.68,11.87,11.87
14636,2023-07-06 13:56:42.455000 UTC,2023-07-06 13:54:00.000000 UTC,20.5,16.84,12.06,12.06
14635,2023-07-06 14:01:42.717000 UTC,2023-07-06 13:58:00.000000 UTC,25.1,17.35,12.11,12.11
14638,2023-07-06 14:01:42.717000 UTC,2023-07-06 13:58:00.000000 UTC,23.8,18.15,11.57,11.57
14637,2023-07-06 14:05:02.676000 UTC,2023-07-06 14:01:00.000000 UTC,22.5,16.84,11.93,11.93
14636,2023-07-06 14:06:42.656000 UTC,2023-07-06 14:04:00.000000 UTC,20.6,16.97,12.13,12.13
14638,2023-07-06 14:11:42.726000 UTC,2023-07-06 14:08:00.000000 UTC,25.5,18.09,11.65,11.65
14635,2023-07-06 14:11:42.726000 UTC,2023-07-06 14:08:00.000000 UTC,25.8,17.52,12.19,12.19
14637,2023-07-06 14:15:02.654000 UTC,2023-07-06 14:11:00.000000 UTC,22.6,16.96,12.03,12.03
14636,2023-07-06 14:16:42.704000 UTC,2023-07-06 14:14:00.000000 UTC,21.0,17.3,12.32,12.32
14638,2023-07-06 14:21:42.913000 UTC,2023-07-06 14:18:00.000000 UTC,26.9,18.41,11.78,11.78
14635,2023-07-06 14:21:42.913000 UTC,2023-07-06 14:18:00.000000 UTC,26.2,17.69,12.14,12.14
14637,2023-07-06 14:25:02.575000 UTC,2023-07-06 14:21:00.000000 UTC,22.7,17.07,12.0,12.0
14636,2023-07-06 14:26:42.629000 UTC,2023-07-06 14:24:00.000000 UTC,24.0,17.57,12.27,12.27
14638,2023-07-06 14:31:42.696000 UTC,2023-07-06 14:28:00.000000 UTC,27.8,18.43,11.71,11.71
14635,2023-07-06 14:31:42.696000 UTC,2023-07-06 14:28:00.000000 UTC,25.4,17.74,12.14,12.14
14637,2023-07-06 14:35:02.507000 UTC,2023-07-06 14:31:00.000000 UTC,22.8,17.22,12.08,12.08
14636,2023-07-06 14:36:42.546000 UTC,2023-07-06 14:34:00.000000 UTC,24.6,17.73,11.27,11.27
14638,2023-07-06 14:41:42.631000 UTC,2023-07-06 14:38:00.000000 UTC,29.0,18.53,11.7,11.7
14635,2023-07-06 14:41:42.631000 UTC,2023-07-06 14:38:00.000000 UTC,26.0,17.95,11.36,11.36
14637,2023-07-06 14:45:02.651000 UTC,2023-07-06 14:41:00.000000 UTC,22.8,17.63,11.96,11.96
14636,2023-07-06 14:46:42.730000 UTC,2023-07-06 14:44:00.000000 UTC,25.4,17.69,11.18,11.18
14638,2023-07-06 14:51:42.880000 UTC,2023-07-06 14:48:00.000000 UTC,29.9,18.62,11.77,11.77
14635,2023-07-06 14:51:42.880000 UTC,2023-07-06 14:48:00.000000 UTC,26.4,17.89,11.3,11.3
14637,2023-07-06 14:55:02.632000 UTC,2023-07-06 14:51:00.000000 UTC,22.9,17.46,11.64,11.64
14636,2023-07-06 14:56:42.592000 UTC,2023-07-06 14:54:00.000000 UTC,26.2,17.89,11.0,11.0
14638,2023-07-06 15:01:42.723000 UTC,2023-07-06 14:58:00.000000 UTC,30.8,18.63,11.74,11.74
14635,2023-07-06 15:01:42.723000 UTC,2023-07-06 14:58:00.000000 UTC,25.2,18.09,11.4,11.4
14637,2023-07-06 15:05:02.619000 UTC,2023-07-06 15:01:00.000000 UTC,25.2,17.66,11.54,11.54
14636,2023-07-06 15:06:42.624000 UTC,2023-07-06 15:04:00.000000 UTC,27.6,17.98,11.31,11.31
14638,2023-07-06 15:11:42.694000 UTC,2023-07-06 15:08:00.000000 UTC,32.2,19.04,11.71,11.71
14635,2023-07-06 15:11:42.694000 UTC,2023-07-06 15:08:00.000000 UTC,25.1,18.32,11.16,11.16
14637,2023-07-06 15:15:02.578000 UTC,2023-07-06 15:11:00.000000 UTC,27.6,17.9,11.69,11.69
14636,2023-07-06 15:16:42.679000 UTC,2023-07-06 15:14:00.000000 UTC,28.0,18.24,11.64,11.64
14638,2023-07-06 15:21:42.879000 UTC,2023-07-06 15:18:00.000000 UTC,33.4,19.18,11.76,11.76
14635,2023-07-06 15:21:42.879000 UTC,2023-07-06 15:18:00.000000 UTC,25.5,18.37,11.69,11.69
14637,2023-07-06 15:25:02.572000 UTC,2023-07-06 15:21:00.000000 UTC,28.9,18.49,11.71,11.71
14636,2023-07-06 15:26:42.881000 UTC,2023-07-06 15:24:00.000000 UTC,28.9,18.46,11.62,11.62
14635,2023-07-06 15:31:42.852000 UTC,2023-07-06 15:28:00.000000 UTC,25.2,18.92,11.93,11.93
14638,2023-07-06 15:31:42.852000 UTC,2023-07-06 15:28:00.000000 UTC,34.1,19.19,11.41,11.41
14637,2023-07-06 15:35:02.358000 UTC,2023-07-06 15:31:00.000000 UTC,29.8,18.9,11.61,11.61
14636,2023-07-06 15:36:42.558000 UTC,2023-07-06 15:34:00.000000 UTC,29.7,18.64,11.89,11.89
14635,2023-07-06 15:41:42.613000 UTC,2023-07-06 15:38:00.000000 UTC,25.1,19.31,11.51,11.51
14638,2023-07-06 15:41:42.613000 UTC,2023-07-06 15:38:00.000000 UTC,33.1,19.57,11.64,11.64
14637,2023-07-06 15:45:02.556000 UTC,2023-07-06 15:41:00.000000 UTC,31.2,19.08,11.73,11.73
14636,2023-07-06 15:46:42.645000 UTC,2023-07-06 15:44:00.000000 UTC,30.1,18.7,11.73,11.73
14635,2023-07-06 15:51:42.597000 UTC,2023-07-06 15:48:00.000000 UTC,24.9,19.4,11.74,11.74
14638,2023-07-06 15:51:42.597000 UTC,2023-07-06 15:48:00.000000 UTC,33.0,19.61,11.7,11.7
14637,2023-07-06 15:55:02.564000 UTC,2023-07-06 15:51:00.000000 UTC,32.3,19.57,11.94,11.94
14636,2023-07-06 15:56:42.467000 UTC,2023-07-06 15:54:00.000000 UTC,30.9,18.96,11.78,11.78
14638,2023-07-06 16:01:42.605000 UTC,2023-07-06 15:58:00.000000 UTC,37.1,19.86,11.53,11.53
14635,2023-07-06 16:01:42.605000 UTC,2023-07-06 15:58:00.000000 UTC,25.1,19.59,11.93,11.93
